Title,Year Released,Media Type,Movie Duration,Audience Rating,Audience Vote Count,Metacritic Score,Plot Description
75. Like Stars on Earth,2007,MOVIE,2h 42m,8.3,209K,NA,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
76. K.G.F: Chapter 2,2022,MOVIE,2h 46m,8.3,152K,NA,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
77. Adipurush,2023,MOVIE,2h 59m,2.7,133K,NA,A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the demon king Lankesh.
78. Drishyam 2,2022,MOVIE,2h 20m,8.2,45K,NA,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
79. Anweshippin Kandethum,2024,MOVIE,2h 22m,7.4,7.5K,NA,Revolves around two major crimes that shook kerala and the subsequent inquiry into the cases by sop.
80. Rajni Kaand,2022–,TV SERIES,NA,7.7,306,NA,The story revolves around office colleagues. Amidst work stress they fight and fall in love. Could this change their lives forever?
81. Kohrra,2023–,TV SERIES,NA,7.5,9.3K,NA,"When a bridegroom is found dead days before his wedding, two police officers must unravel the troubling case as turbulence unfolds in their own lives and threatens to ruin the case."
82. Ishq Vishk Rebound,2024,MOVIE,1h 46m,6.9,7K,NA,"Follows the lives of four young people who become enmeshed in a web of friendship, love, and self-discovery."
83. The Hundred-Foot Journey,2014,MOVIE,2h 2m,7.3,88K,55,The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.
84. Hanu Man,2024,MOVIE,2h 38m,7.8,26K,NA,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.
85. Gangs of Wasseypur,2012,MOVIE,5h 21m,8.2,105K,89,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
86. Savi,2024,MOVIE,2h 6m,8.2,14K,NA,"Savi a simple housewife attempts a daring jailbreak to get her husband out of one of England's high security prisons With 400 inmates, 75 armed guards, 60 surveillance cameras."
87. Blackout,2024,MOVIE,2h 2m,6.6,9.9K,NA,"The streets of Pune, where a single night of darkness engulfs the city in mystery, as crime reporter Lenny, gets entangled in a web of greed and misfortune."
88. All We Imagine as Light,2024,MOVIE,1h 50m,7.1,244,93,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend."
